car,dimensions,wheelbase,amount
Lada Granta,4100,2476,1010
Hyundai Creta,4300,2590,1130
Renault Duster,4300,2679,400
Renault Logan,4350,2634,465
Hyundai Solaris,4400,2600,1090
KIA Rio,4400,2600,1720
Lada Vesta,4400,2635,705
Volkswagen Polo,4450,2591,560
Škoda Rapid,4450,2602,420
Toyota Camry,4850,2825,475
